id,title,author,text,label
1,Government launches new economic policy,John Smith,The government announced a new economic reform policy today.,0
2,Aliens landed in Mumbai,Rahul Verma,A viral post claims aliens landed in Mumbai yesterday.,1
3,Scientists discover new planet,Sarah Lee,Astronomers have discovered a new Earth-like planet in a distant galaxy.,0
4,Drinking bleach cures COVID,Unknown,A social media post falsely claims bleach can cure COVID-19.,1
5,India wins cricket series,Amit Sharma,India defeated Australia in the final match of the series.,0
6,5G towers spread coronavirus,Fake News Page,Posts online claim 5G towers are spreading coronavirus.,1
7,New education policy announced,Reporter Team,The education ministry has announced changes to thegit push -u origin master national curriculum.,0
8,Chocolate cures cancer,Blog Author,A viral article claims chocolate can cure cancer without evidence.,1
9,SpaceX launches new rocket,Tech News,SpaceX successfully launched a new rocket into orbit.,0
10,Actor secretly running the country,Anonymous,Conspiracy theory claims a famous actor secretly controls the government.,1
